frame,  rot	pos	speed
0	0	0.8	5
500	0	0.79	0.0053
689	0	0.7801	0.0052
880	0	0.77	0.0052
1073	0	0.76	0.0051
1269	0	0.7501	0.005
1467	0	0.7401	0.005
1668	0	0.7301	0.0049
1871	0	0.72	0.0049
2077	0	0.71	0.0048
2285	0	0.7001	0.0047
2496	0	0.6901	0.0047
2709	0	0.6802	0.0046
2925	0	0.6701	0.0046
3144	0	0.6602	0.0045
3365	0	0.6501	0.0045
3589	0	0.6401	0.0044
3816	0	0.63	0.0044
4046	0	0.62	0.0043
4279	0	0.6101	0.0042
4514	0	0.6001	0.0042
4752	0	0.5902	0.0041
4993	0	0.5802	0.0041
5237	0	0.5703	0.004
5484	0	0.5603	0.004
5734	0	0.5504	0.0039
5988	0	0.5404	0.0039
6245	0	0.5305	0.0038
6505	0	0.5205	0.0038
6768	0	0.5104	0.0038
7035	0	0.5004	0.0037
7305	0	0.4903	0.0037
7578	0	0.4803	0.0036
7855	0	0.4702	0.0036
8135	0	0.4603	0.0035
8419	0	0.4502	0.0035
8706	0	0.4404	0.0034
8997	0	0.4303	0.0034
9292	0	0.4202	0.0034
9590	0	0.4102	0.0033
9892	0	0.4001	0.0033
10198	0	0.3902	0.0032
10508	0	0.3802	0.0032
10822	0	0.3703	0.0031
11140	0	0.3603	0.0031
11462	0	0.3502	0.0031
11788	0	0.3403	0.003
12118	0	0.3303	0.003
12452	0	0.3202	0.003
12790	0	0.3102	0.0029
13133	0	0.3001	0.0029
13480	0	0.2903	0.0028
13832	0	0.2803	0.0028
14188	0	0.2702	0.0028
14549	0	0.2604	0.0027
14914	0	0.2504	0.0027
15284	0	0.2402	0.0027
15659	0	0.2304	0.0026
16038	0	0.2204	0.0026
16422	0	0.2103	0.0026
16811	0	0.2004	0.0025
17205	0	0.1905	0.0025
17604	0	0.1804	0.0025
18008	0	0.1705	0.0024
18418	0	0.1606	0.0024
18833	0	0.1505	0.0024
19253	0	0.1407	0.0023
19679	0	0.1308	0.0023
20110	0	0.1207	0.0023
20547	0	0.1106	0.0023
20989	0	0.1007	0.0022
21437	0	0.0907	0.0022
21891	0	0.0806	0.0022
22351	0	0.0708	0.0021
22817	0	0.0609	0.0021
23289	0	0.0509	0.0021
24000	0	0.8	0.1
