CPU;	CUDA (mem);	CUDA (tc);	
10940.8818359375	39296.7500000000	46011.8398437500
7577.3090820313	20852.0898437500	37436.4960937500
6999.6430664063	18058.2558593750	26233.1699218750
4744.1289062500	9183.7158203125	20384.8691406250
4570.6240234375	8929.3818359375	16394.0039062500
4298.0869140625	8172.4345703125	17191.9980468750
4247.5600585938	7874.5297851563	12974.5634765625
4104.2446289063	7516.5903320313	13469.1386718750
2527.3164062500	4403.8398437500	9062.2978515625
2213.5068359375	2553.2382812500	5397.5844726563
2301.8049316406	2512.9777832031	5181.7333984375
2363.7368164063	2381.1403808594	4902.4086914063
